高密市公路事业发展中心国道G309青兰线西段绿化提升项目中标公告 | 2020.02.28 | 高密市公路事业发展中心,高密市公路事业发展中心 | 山东诚德信项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13939466.htm
厦门吉百特-公开招标-JBT2019-2192-Z-五缘湾游艇港进行人证比对系统提升改造-中标结果公告 | 2020.02.28 | 厦门五缘游艇文化发展有限公司 | 厦门吉百特投资咨询有限公司中标公告 | 福建 | 服务/科学研究和试验开发/工程学的研究和试验开发/交通运输工程研究服务/交通运输信息化/计算机技术 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938194.htm
珠海市斗门区莲洲镇东安村民委员会东安村妇女儿童活动中心工程采购项目中标公告 | 2020.02.28 | 珠海市斗门区莲洲镇东安村民委员会 | 广东建辉项目管理有限公司中标公告 | 广东 | 工程/构筑物施工/市内管道、电缆及其有关工程铺设/其他市政工程施工 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938160.htm
昭阳区太平办事处金江社区教学综合楼建设项目桌椅采购和装饰装修工程中标公示 | 2020.02.28 | 昭通市昭阳区水电移民服务中心 | 云南中咨海外咨询有限公司中标公告 | 云南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938151.htm
浦城县绿新林业有限责任公司浦城县2020年度南平市储备林森林质量精准提升工程项目人工商品林外业调查、资产评估服务中标公告 | 2020.02.28 | 浦城县绿新林业有限责任公司 | 南平市闽源招标咨询有限公司中标公告 | 福建 | 服务/专业技术服务/其他专业技术服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938146.htm
珠海市金湾区信息中心金湾区园区线路租赁采购项目中标公告 | 2020.02.28 | 珠海市金湾区信息中心 | 广东时代华启招标有限公司中标公告 | 广东 | 服务/租赁服务（不带操作员）/其他租赁服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938149.htm
国资委建材机关服务中心基础信息化建设项目（硬件支撑体系建设）中标公告 | 2020.02.28 | 国务院国有资产监督管理委员会建材机关服务中心 | 中央国家机关政府采购中心中标公告 | 北京 | 货物/通用设备/通信设备/视频会议系统设备/其他视频会议系统设备 | http://www.ccgp.gov.cn/cggg/zygg/zbgg/202002/t20200228_13938071.htm
湄洲湾职业技术学院窗帘采购项目中标公告 | 2020.02.28 | 湄洲湾职业技术学院 | 福建省一十招标代理有限公司中标公告 | 福建 | 货物/纺织原料、毛皮、被服装具/被服装具/室内装具/窗帘及类似品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938339.htm
城维计划-景观规划、城市设计编制（基于CIM的城市设计编制指引）(项目编号：1371-1941GDGH2295)中标公告 | 2020.02.28 | 广州市规划和自然资源局 | 广东国和采购咨询有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938086.htm
原州区2019年购买中小学食堂从业人员劳务服务承接主体政府采购项目中标公告 | 2020.02.28 | 固原市原州区教育体育局 | 宁夏鸿立招标代理有限公司中标公告 | 宁夏 | 服务/住宿和餐饮服务/餐饮服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938068.htm
昭阳区教育体育局学校课桌采购项目中标公告 | 2020.02.28 | 昭通市昭阳区教育体育局 | 云南业邦招标咨询有限公司中标公告 | 云南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938090.htm
浦城县中医医院电子医用内窥镜系统设备货物类采购项目结果公告(包1) | 2020.02.28 | 浦城县中医医院 | 南平市闽源招标咨询有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938118.htm
福建省漳州市医院血液辐照仪等设备采购项目结果公告(包1) | 2020.02.28 | 福建省漳州市医院 | 福建省中达招标代理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938119.htm
福建省漳州市医院麻醉临床信息系统扩展和维护服务类采购项目结果公告(包1) | 2020.02.28 | 福建省漳州市医院 | 漳州诚毅招标代理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938116.htm
邵武市立医院空调货物类采购项目结果公告(包1) | 2020.02.28 | 邵武市立医院 | 邵武市公共资源交易中心中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938074.htm
汽车营销实训室建设项目结果公告(包1) | 2020.02.28 | 福建省福清龙华职业中专学校 | 福建盛鑫招标代理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938073.htm
莒南县水利局2018年国家水土保持重点工程结余资金项目中标公告 | 2020.02.28 | 莒南县水利局 | 山东鸿泰工程咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938045.htm
阳春市城市管理和综合执法局市环卫站生活垃圾袋采购项目的中标、成交公告 | 2020.02.28 | 阳春市城市管理和综合执法局 | 广东正渝工程管理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938025.htm
湛江市湖光中心小学湛江市湖光中心小学教学楼改造工程的中标、成交公告 | 2020.02.28 | 湛江市湖光中心小学 | 广东省广大工程顾问有限公司湛江分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938032.htm
广西科文招标有限公司广西现代渔业种业示范园（核心区）建设项目全过程工程咨询服务（GXZC2019-G3-001627-GXKW）中标候选人公示 | 2020.02.28 | 广西壮族自治区水产引育种中心 | 广西科文招标有限公司中标公告 | 广西 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938289.htm
莆田市城厢区环境卫生管理处2020年城厢区箱体组合装配式移动公厕中标公告 | 2020.02.28 | 莆田市城厢区环境卫生管理处 | 福建省一十招标代理有限公司中标公告 | 福建 | 服务/环境服务/城镇公共卫生服务/公共厕所服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938290.htm
广州市红十字会医院光学干涉断层成像系统（OCT）项目（0809-2041GZG11104）中标公告 | 2020.02.28 | 广州市红十字会医院 | 广东华伦招标有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938051.htm
沙河市数字高清视频考试网上巡查系统项目中标公告 | 2020.02.28 | 沙河市教育局 | 河北宇辰捷隆工程项目管理有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938042.htm
九鼎赣饶中介服务咨询有限公司关于赣州城市投资控股集团有限责任公司综合管理信息化系统项目（项目编号：JDGR2020-GZ-F010）公开招标的结果公告 | 2020.02.28 | 赣州城市投资控股集团有限责任公司 | 九鼎赣饶中介服务咨询有限公司中标公告 | 江西 | 服务/信息技术服务/软件开发服务/基础软件开发服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938293.htm
北京市海淀区人民政府清河街道办事处清河街道2020年劳务派遣服务项目中标公告 | 2020.02.28 | 北京市海淀区人民政府清河街道办事处 | 北京市京发招标有限公司（中介）中标公告 | 北京 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938095.htm
济宁市生态环境局曲阜市分局2020年国家重点生态功能区县域生态环境质量监测、曲阜市重点行业挥发性有机物监测、省定贫困村饮用水水源地水质监测、化工聚集区地下水水质监测采购项目中标公告 | 2020.02.28 | 济宁市生态环境局曲阜市分局 | 曲阜鹏程项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938003.htm
国家税务总局漳州市税务局12366纳税服务中心服务外包项目中标公告 | 2020.02.28 | 国家税务总局漳州市税务局 | 福建众亿工程项目管理有限公司中标公告 | 福建 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938242.htm
济宁市生态环境局曲阜市分局2020年国家重点生态功能区县域生态环境质量监测、曲阜市重点行业挥发性有机物监测、省定贫困村饮用水水源地水质监测、化工聚集区地下水水质监测采购项目中标公告 | 2020.02.28 | 济宁市生态环境局曲阜市分局 | 曲阜鹏程项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938002.htm
佛山市顺德区大良街道人力资源和社会保障局大良残疾人综合服务中心（原教育楼）装修装饰工程项目的中标、成交公告 | 2020.02.28 | 佛山市顺德区大良街道人力资源和社会保障局 | 广东金域工程咨询有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938000.htm
2020年雷山县丹江镇黑毛猪养殖项目（黑毛猪）采购中标（成交）公告 | 2020.02.28 | 雷山县丹江镇人民政府 | 贵州国宏盛业项目管理有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937997.htm
商河县农村污水连片治理（一期）工程勘察设计项目中标公告 | 2020.02.28 | 商河县水务局 | 山东金正工程项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937972.htm
某单位库室改造采购项目中标公告 | 2020.02.28 | 某单位 | 福建省腾众建设工程有限公司中标公告 | 福建 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937955.htm
成都市新都香城建设投资有限公司四川成都航空产业园标准化厂房（一期）物业管理服务中标公告 | 2020.02.28 | 成都市新都香城建设投资有限公司 | 四川正科建设工程咨询有限公司中标公告 | 四川 | 服务/房地产服务/物业管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938170.htm
公物投资-询价-GT2020-SH012C-全自动凝血分析仪等设备采购-结果公告 | 2020.02.28 | 厦门市思明区梧村街道社区卫生服务中心 | 厦门市公物投资管理有限公司中标公告 | 福建 | 货物/专用设备/医疗设备/临床检验设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938169.htm
小马沟生活组团青年路北征迁团购安置房项目中标公示 | 2020.02.28 | 盐城市盐都区人民政府潘黄街道办事处 | 江苏建博工程管理咨询有限公司中标公告 | 江苏 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937913.htm
信宜市丁堡镇人民政府信宜市丁堡镇湾冲村示范村人居环境整治工程（第二批）ZX2020-GJC005的成交公告 | 2020.02.28 | 信宜市丁堡镇人民政府 | 茂名市智信招标采购有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937879.htm
东莞市麻涌镇人民政府办公室东莞市麻涌镇镇府大院及镇政务中心物业管理服务的中标、成交公告 | 2020.02.28 | 东莞市麻涌镇人民政府办公室 | 东莞市德晟招标有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937872.htm
大朗镇雨污分流区块排水现状补充摸排项目的中标、成交公告 | 2020.02.28 | 东莞市大朗镇水务工程建设运营中心 | 广东众德项目管理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937869.htm
凯里市中心福利院院民生活物资采购项目中标（成交）公告 | 2020.02.28 | 凯里市中心福利院 | 贵州贵久和工程项目管理有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937845.htm
2020年黄山馆乡村振兴示范项目花海配套工程中标公告 | 2020.02.28 | 龙口市黄山馆镇人民政府 | 山东省联成工程咨询有限公司龙口分公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937838.htm
菏泽市市场监督管理局2020年仪器设备采购中标公告 | 2020.02.28 | 菏泽市市场监督管理局 | 博鼎泰工程项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937837.htm
蒙阴县岱崮供销社东指门市部改建提升工程中标公告 | 2020.02.28 | 蒙阴县供销合作社联合社 | 蒙阴中兴招标咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937846.htm
福建省漳州市医院血液辐照仪等设备采购项目中标公告 | 2020.02.28 | 福建省漳州市医院 | 福建省中达招标代理有限公司中标公告 | 福建 | 货物/专用设备/医疗设备/临床检验设备,货物/专用设备/医疗设备/医用高能射线设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938057.htm
丰顺县人民医院低温灭菌器、脉动真空灭菌器及手术麻醉系统等采购项目的中标公告 | 2020.02.28 | 丰顺县人民医院 | 广州群生招标代理有限公司梅州分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937824.htm
云岩区中小学、幼儿园第三方安全技术服务项目中标（成交）公告 | 2020.02.28 | 云岩区教育局 | 贵州新阳光项目管理有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937823.htm
广州医科大学附属第五医院大沙社区卫生服务中心污水改造项目【项目编号：0835-200F13000501】中标公告 | 2020.02.28 | 广州医科大学附属第五医院 | 广东元正招标采购有限公司中标公告 | 广东 | 工程/专业施工/其他专业施工 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937834.htm
化州市合江镇人民政府合江镇Y359和Y368乡道改造工程（一期）的中标、成交公告 | 2020.02.28 | 化州市合江镇人民政府 | 广东粤能工程管理有限公司茂名分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937790.htm
北京市丰台区卢沟桥文化旅游区办事处常态化运行经费中标公告 | 2020.02.28 | 北京市丰台区卢沟桥文化旅游区办事处 | 北京中外建工程管理有限公司（中介）中标公告 | 北京 | 服务/房地产服务/物业管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937825.htm
菏泽市市场监督管理局2020年气相色谱仪采购中标公告 | 2020.02.28 | 菏泽市市场监督管理局 | 博鼎泰工程项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937789.htm
北京园博园管理中心北京园博园安全保卫服务中标公告 | 2020.02.28 | 北京园博园管理中心 | 北京中衡融达工程管理有限公司中标公告 | 北京 | 服务/房地产服务/物业管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937827.htm
广西建展工程咨询有限公司关于贵港市食品药品检验所综合业务楼弱电系统建设(项目编号：GGZC2019-G1-12411-GXJZ)中标结果公告 | 2020.02.28 | 贵港市市场监督管理局 | 广西建展工程咨询有限公司中标公告 | 广西 | 货物/通用设备/电气设备/其他电气设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938016.htm
广州市红十字会医院超高清内镜系统加2套耳动力系统项目（0809-1941GZG11C06）中标公告 | 2020.02.28 | 广州市红十字会医院 | 广东华伦招标有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937791.htm
临夏县民政局标准门牌制作安装项目（三次）中标公告 | 2020.02.28 | 临夏县民政局 | 陕西昊华工程项目管理有限责任公司中标公告 | 甘肃 | 货物 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937788.htm
北京市丰台区人民政府南苑街道办事处2020年南苑街道背街小巷清扫保洁项目中标公告 | 2020.02.28 | 北京市丰台区人民政府南苑街道办事处 | 北京华信今朝国际工程咨询有限公司中标公告 | 北京 | 服务/环境服务/城镇公共卫生服务/清扫服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937830.htm
资源县自然资源局资源县车田苗族乡等3个乡城乡建设用地增减挂钩项目中标公告 | 2020.02.28 | 资源县自然资源局 | 江西宏泰工程咨询有限公司中标公告 | 广西 | 工程/专业施工/其他专业施工 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937989.htm
济南市济阳区2020年河渠道管护项目中标公告 | 2020.02.28 | 济南市济阳区城乡水务局,济南市济阳区城乡水务局,济南市济阳区城乡水务局 | 山东盛阳项目管理咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937755.htm
济南市济阳区河道划界工程及监理项目中标公告 | 2020.02.28 | 济南市济阳区城乡水务局,济南市济阳区城乡水务局 | 山东盛阳项目管理咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937749.htm
厦门华沧-公开招标-2020-HCGK-SH150-海新阳光公寓二期维序、保洁人员提供服务的结果公告 | 2020.02.28 | 厦门海沧城建物业有限公司 | 厦门市华沧采购招标有限公司中标公告 | 福建 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937984.htm
国家税务总局福州市税务局12366纳税服务咨询外包采购项目中标公告 | 2020.02.28 | 国家税务总局福州市税务局 | 福建省智信招标有限公司中标公告 | 福建 | 服务/信息技术服务/呼叫中心服务 | http://www.ccgp.gov.cn/cggg/zygg/zbgg/202002/t20200228_13937703.htm
兰州市安宁区财政局全区行政事业单位、国有企业国有资产清查服务项目中标公告 | 2020.02.28 | 兰州市安宁区财政局 | 甘肃中远项目管理咨询有限公司中标公告 | 甘肃 | 服务/金融服务/其他金融服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937714.htm
广东省工业高级技工学校实训耗材及校园维修材料供应商资格服务采购项目中标公告 | 2020.02.28 | 广东省工业高级技工学校 | 广东有德招标采购有限公司中标公告 | 广东 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937698.htm
北京市通州区马驹桥镇人民政府2020年马驹桥镇餐厨垃圾及垃圾分类项目外包服务公司招聘中标公告 | 2020.02.28 | 北京市通州区马驹桥镇人民政府 | 北京北咨工程咨询有限公司中标公告 | 北京 | 服务/环境服务/城镇公共卫生服务/垃圾处理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937737.htm
广西天立工程造价咨询有限公司关于矿产资源调运智能管理系统采购（第三次）（ZSZC2019-G3-00222号GXTL）中标结果公告 | 2020.02.28 | 钟山县自然资源局 | 广西天立工程造价咨询有限公司中标公告 | 广西 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937899.htm
淄博市公安局交通警察支队张店大队及分所、乡镇中队物业服务采购中标公告 | 2020.02.28 | 淄博市公安局交通警察支队 | 淄博阳光正大招标代理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937672.htm
珠海市斗门区井岸镇坭湾村经济合作联社坭湾村文化广场建设工程中标公告 | 2020.02.28 | 珠海市斗门区井岸镇坭湾村经济合作联社 | 广东建辉项目管理有限公司中标公告 | 广东 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937659.htm
临朐县五井镇泉头村城乡建设用地增减挂钩试点项目中标公告 | 2020.02.28 | 临朐县嵩山生态旅游区发展服务中心,临朐县嵩山生态旅游区发展服务中心 | 山东建业工程项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937682.htm
无棣县农业农村局2019年高标准农田建设林网工程中标公告 | 2020.02.28 | 无棣县农业局 | 山东睿圣项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937676.htm
云浮新区综合服务中心（云浮新区政府投资建设项目代建服务中心)云浮新区市政道路桥梁维护检测项目的中标、成交公告 | 2020.02.28 | 云浮新区综合服务中心（云浮新区政府投资建设项目代建服务中心) | 云浮采联采购招标有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937674.htm
鹰潭市龙岗资产运营有限公司2020年非公开发行公司债承销商招标中标公告 | 2020.02.28 | 鹰潭市龙岗资产运营有限公司 | 鹰潭市明辉招标代理有限公司中标公告 | 江西 | 服务/金融服务/证券服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937903.htm
广东省工业高级技工学校办公文具，体育、劳保用品、（含日杂）供应商资格服务釆购项目中标公告 | 2020.02.28 | 广东省工业高级技工学校 | 广东有德招标采购有限公司中标公告 | 广东 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937638.htm
2020年山东省滨州市博兴县5万亩高标准农田建设项目勘察设计服务采购中标公告 | 2020.02.28 | 博兴县农业农村局,博兴县农业农村局 | 山东宏信建设工程咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937631.htm
江西恒诚工程咨询有限公司关于江西省赣州旅游集散中心有限公司赣州智慧旅游及展示平台项目（项目编号：JXHC2020-GZ-G001）的公开招标的中标结果公告 | 2020.02.28 | 赣州旅游集散中心有限公司 | 江西恒诚工程咨询有限公司中标公告 | 江西 | 服务/信息技术服务/软件开发服务/信息安全软件开发服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937623.htm
云之龙招标集团有限公司超高端CT设备采购0817-194GXYLZB010评标结果公示公告 | 2020.02.28 | 广西壮族自治区人民医院 | 云之龙招标集团有限公司中标公告 | 广西 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937640.htm
广东省第一救助安置中心2020年度护理、生活照料及安全保障项目的中标、成交公告 | 2020.02.28 | 广东省第一救助安置中心 | 福建建盛工程管理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937639.htm
佛山市三水区人民医院被服洗涤服务项目（ZFXL2019090）的中标结果公告 | 2020.02.28 | 佛山市三水区人民医院 | 广东信立招标采购有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937634.htm
仁化县看守所“智慧磐石”项目的中标结果调整公告 | 2020.02.28 | 仁化县公安局 | 广东诚合招标有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937582.htm
广西建设工程机电设备招标中心有限公司关于南宁市西乡塘区2019年高标准农田建设项目GS(4)2019123GNN中标候选人公示 | 2020.02.28 | 南宁市西乡塘区农业农村局 | 广西建设工程机电设备招标中心有限公司中标公告 | 广西 | 工程/专业施工/其他专业施工 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937591.htm
北京市顺义区龙湾屯镇人民政府龙湾屯镇2019-2020年环境维护服务项目中标公告 | 2020.02.28 | 北京市顺义区龙湾屯镇人民政府 | 北京鑫中招标代理有限公司中标公告 | 北京 | 服务/环境服务/城镇公共卫生服务/垃圾处理服务,服务/环境服务/城镇公共卫生服务/清扫服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937681.htm
北京市丰台区卢沟桥文化旅游区办事处保安项目支出中标公告 | 2020.02.28 | 北京市丰台区卢沟桥文化旅游区办事处 | 北京中外建工程管理有限公司（中介）中标公告 | 北京 | 服务/房地产服务/物业管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937662.htm
中小学生校内课后服务工作信息管理服务平台采购项目中标结果公告 | 2020.02.28 | 江门市蓬江区教育局 | 江门市国腾招标有限公司中标公告 | 广东 | 服务/信息技术服务/其他信息技术服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937811.htm
云浮市云城区教师进修学校云城区教师发展中心标准化建设教学设备设施购置项目的中标、成交公告 | 2020.02.28 | 云浮市云城区教师进修学校 | 广东晓君招标采购代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937602.htm
2020年姚安县审计局购买中介机构参与政府投资建设项目审计入围公告 | 2020.02.28 | 姚安县审计局 | 楚雄竭诚招标代理有限责任公司中标公告 | 云南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937569.htm
长汀县林业局2020年松材线虫病防治货物类采购项目结果公告(包1) | 2020.02.28 | 长汀县林业局 | 福建省建信工程管理集团有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937584.htm
长汀县水利局节水型社会达标建设服务类采购项目结果公告(包1) | 2020.02.28 | 长汀县水利局 | 福建省建信工程管理集团有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937597.htm
福建卫生职业技术学院医技系临检实训室-数字切片扫描系统货物类采购项目结果公告(包1) | 2020.02.28 | 福建卫生职业技术学院 | 福州华腾招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937577.htm
福建省市场监督管理部分业务系统升级改造项目结果公告(包1) | 2020.02.28 | 福建省市场监督管理局 | 福建立勤招标代理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937595.htm
福建省水产技术推广总站生物安全柜货物类采购项目结果公告(包1) | 2020.02.28 | 福建省水产技术推广总站 | 福州承哲招标代理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937596.htm
上海华测导航技术股份有限公司北斗高精度智慧施工管理创新应用及产业化—网络准入控制系统建设中标公告 | 2020.02.28 | 上海华测导航技术股份有限公司 | 上海公申工程建设咨询有限公司中标公告 | 上海 | 服务/信息技术服务/其他信息技术服务 | http://www.ccgp.gov.cn/cggg/zygg/zbgg/202002/t20200228_13937812.htm
云南省地震局国家地震烈度速报与预警工程云南子项目通用设备采购（第2包）中标公告 | 2020.02.28 | 云南省地震局 | 云南兴语招标有限公司中标公告 | 云南 | 货物/通用设备/广播、电视、电影设备/视频设备/通用摄像机,货物/通用设备/计算机设备及软件/机房辅助设备/机柜,货物/通用设备/电气设备/电源设备/电池组/蓄电池及充电装置 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937534.htm
福鼎市桐城消防救援站装修工程中标公告 | 2020.02.28 | 福鼎市消防救援大队（原福鼎市公安消防大队） | 驿涛项目管理有限公司中标公告 | 福建 | 工程/装修工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937551.htm
北京市大兴区采育镇人民政府采育镇社会管控公司化运行服务中标公告 | 2020.02.28 | 北京市大兴区采育镇人民政府 | 北京从头越建筑造价咨询有限公司中标公告 | 北京 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937544.htm
大连康复疗养中心信息化设备采购项目（A-I包）中标公告 | 2020.02.28 | 大连康复疗养中心 | 大连君跃项目管理有限公司中标公告 | 辽宁 | 服务/信息技术服务/数据处理服务/其他数据处理服务,服务/信息技术服务/软件开发服务/信息安全软件开发服务,服务/信息技术服务/信息系统集成实施服务/其他系统集成实施服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937768.htm
