潍坊市寒亭区机关事务服务中心购买调研接待用车项目中标公告 | 2020.02.24 | 潍坊市寒亭区机关事务服务中心 | 山东华信项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13920204.htm
普洱市思茅区2020年农村义务教育学生营养改善计划营养餐采购项目中标结果公告 | 2020.02.24 | 普洱市思茅区教育体育局 | 云南天启建设工程咨询有限公司中标公告 | 云南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918596.htm
汕头职业技术学院2020教职工上下班客车租赁服务的中标、成交公告 | 2020.02.24 | 汕头职业技术学院 | 广东省机电设备招标中心有限公司粤东分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918595.htm
北京市公安局丰台分局2019年丰台区雪亮工程建设项目-区级云平台扩容部分中标公告 | 2020.02.24 | 北京市公安局丰台分局 | 北京德音招标代理有限公司中标公告 | 北京 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919066.htm
纳雍﹒天河实验学校班班通、学生计算机室设备采购项目中标（成交）公告 | 2020.02.24 | 纳雍县教育科技局 | 华睿诚项目管理有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918594.htm
高唐县城区新建及扩建学校建设监理项目中标公告 | 2020.02.24 | 高唐县教育和体育局 | 山东嘉信招标有限责任公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918610.htm
通榆县文化广播电视和旅游局元宵节灯展服务项目中标公告 | 2020.02.24 | 通榆县文化广播电视和旅游局 | 通榆县机关事务服务中心政府集中采购科中标公告 | 吉林 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918561.htm
北京安贞医院食堂设备设施采购项目其他食品加工专用设备采购项目中标公告 | 2020.02.24 | 首都医科大学附属北京安贞医院 | 北京中兴恒达招标有限公司中标公告 | 北京 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918600.htm
纳雍﹒天河实验学校数字广播、校园监控系统、综合布线等设施设备项目中标（成交）公告 | 2020.02.24 | 纳雍县教育科技局 | 华睿诚项目管理有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918571.htm
广州市天河区住房建设和园林局2020年天河区原县乡公路管养服务项目（二标）的中标、成交结果调整公告 | 2020.02.24 | 广州市天河区住房建设和园林局 | 广州祥成工程咨询有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918562.htm
厦门坤煌房地产开发有限公司翔安企业总部会馆启动示范区酒店装修工程活动灯具采购及安装中标公告 | 2020.02.24 | 厦门坤煌房地产开发有限公司 | 福建省闽建工程造价咨询有限公司中标公告 | 福建 | 货物/家具用具/其他家具用具 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918575.htm
广州市天河区住房建设和园林局2020年天河区原县乡公路管养服务项目（一标）的中标、成交结果调整公告 | 2020.02.24 | 广州市天河区住房建设和园林局 | 广州祥成工程咨询有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918558.htm
通榆县机关事务服务中心办公楼保洁服务项目中标公告 | 2020.02.24 | 通榆县机关事务服务中心 | 通榆县机关事务服务中心政府集中采购科中标公告 | 吉林 | 服务/商务服务/建筑物清洁服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918563.htm
盐田区防洪设施日常运行维护服务项目中标公告 | 2020.02.24 | 深圳市盐田区水利设施管理中心 | 深圳中邦国际工程科技顾问有限公司中标公告 | 广东 | 服务/水利管理服务/其他水利管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918532.htm
餐厨垃圾处理设备采购的中标、成交结果调整公告 | 2020.02.24 | 广州市花都区城市管理和综合执法局 | 广州峤达咨询服务有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918497.htm
玉溪农业职业技术学院测绘工程教学实训仪器设备（测绘普通仪器）中标公告 | 2020.02.24 | 玉溪农业职业技术学院 | 云南鸿诚项目管理咨询有限公司中标公告 | 云南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918499.htm
北京北控物业管理有限责任公司三供一业维修改造工程（中国船舶工业系统工程研究院）职工家属区物业改造标段设计中标公告 | 2020.02.24 | 北京北控物业管理有限责任公司 | 北京泛华国金工程咨询有限公司中标公告 | 北京 | 服务/工程咨询管理服务/装修设计服务,服务/工程咨询管理服务/工程设计服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918701.htm
通榆县自然资源局通榆县征收农用地区片综合地价编制服务项目中标公告 | 2020.02.24 | 通榆县自然资源局 | 通榆县机关事务服务中心政府集中采购科中标公告 | 吉林 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918495.htm
盐田区河长制工作技术服务项目中标公告 | 2020.02.24 | 深圳市盐田区水务局 | 深圳中邦国际工程科技顾问有限公司中标公告 | 广东 | 服务/水利管理服务/其他水利管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918501.htm
银川市第十四中学智慧黑板采购项目竞争性磋商采购结果公告 | 2020.02.24 | 银川市第十四中学 | 宁夏浩润佰鼎招标代理有限公司中标公告 | 宁夏 | 货物/通用设备/办公设备/多功能一体机 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918440.htm
北京市公安局丰台分局2019年丰台区雪亮工程建设项目-公共区域路由建设部分中标公告 | 2020.02.24 | 北京市公安局丰台分局 | 北京德音招标代理有限公司中标公告 | 北京 | 货物/通用设备/通信设备/光通信设备/光缆通信终端设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919037.htm
济南市公安局市中分局户籍、网警、网格驻巡等专用设备项目B包、C包中标公告 | 2020.02.24 | 济南市公安局市中分局,济南市公安局市中分局 | 竹丰（山东）项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918451.htm
福州市仓山区城市管理局违规电动自行车及三轮车搬离服务项目中标公告 | 2020.02.24 | 福州市仓山区城市管理局 | 福建中实招标有限公司中标公告 | 福建 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918662.htm
青岛高科热力有限公司2019-2020年采暖季煤炭采购（六批次）招标项目中标公告 | 2020.02.24 | 青岛高科热力有限公司 | 青岛炫信工程管理咨询有限公司中标公告 | 山东 | 货物/矿与矿物/煤炭采选产品/其他煤炭采选产品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918664.htm
北京市公安局丰台分局2019年丰台区雪亮工程维护项目-方庄地区视频系统维护部分中标公告 | 2020.02.24 | 北京市公安局丰台分局 | 北京中联环建设工程管理有限公司中标公告 | 北京 | 服务/信息技术服务/运行维护服务/其他运行维护服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918416.htm
厦门市同安区莲花镇人民政府高山党校初心使命馆文创服务采购服务类采购项目结果公告(包1) | 2020.02.24 | 厦门市同安区莲花镇人民政府 | 厦门兴信实投资顾问有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918404.htm
福州市公安局同步录音录像存储设备采购项目结果公告(包1) | 2020.02.24 | 福州市公安局 | 福建诺鑫招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918398.htm
福建省立医院术中神经监测系统采购项目结果公告(包1) | 2020.02.24 | 福建省立医院 | 福建国诚招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918403.htm
闽侯县甘蔗小学学区甘蔗小学学区幼儿园功能室设备采购项目货物类采购项目结果公告(包1) | 2020.02.24 | 闽侯县甘蔗小学学区 | 福建景业招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918397.htm
福州市仓山区城市管理局违规电动自行车及三轮车搬离服务项目结果公告(包1) | 2020.02.24 | 福州市仓山区城市管理局 | 福建中实招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918425.htm
贵阳市地下水基础条件调查及综合研究项目中标（成交）公告 | 2020.02.24 | 贵阳市生态环境局 | 贵州德建招投标代理有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918360.htm
平坝区辣椒化肥减量增效示范项目中标（成交）公告 | 2020.02.24 | 安顺市平坝区农业农村局 | 安顺中兴招标采购有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918351.htm
黑龙江省龙运（集团）股份有限公司哈尔滨南城客运中心建设工程招标代理入围比选项目竞争性磋商中标公告 | 2020.02.24 | 黑龙江省龙运（集团）股份有限公司 | 黑龙江同舟工程管理咨询服务有限公司中标公告 | 黑龙江 | 服务/工程咨询管理服务/其他工程咨询管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918309.htm
潮州市区主干道文明小景观设计制作布置采购项目的成交公告 | 2020.02.24 | 中共潮州市委宣传部 | 广东平正招标采购服务有限公司潮州大道分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918296.htm
莱西市苏州路污水泵站及管道改造等三项工程设计成交公告 | 2020.02.24 | 市政管理处 | 青岛欣天成业项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918319.htm
莱西市苏州路污水泵站及管道改造等三项工程设计成交公告 | 2020.02.24 | 市政管理处 | 青岛欣天成业项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918301.htm
福建省星云大数据应用服务有限公司2019年IT基础设施采购（第二批）项目-存储设备中标结果公示 | 2020.02.24 | 福建省星云大数据应用服务有限公司 | 福建优胜招标项目管理集团有限公司中标公告 | 福建 | 服务/信息技术服务/其他信息技术服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918277.htm
北京市公安局丰台分局2019年丰台区雪亮工程建设项目-区级共享平台改造部分中标公告 | 2020.02.24 | 北京市公安局丰台分局 | 北京德音招标代理有限公司中标公告 | 北京 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919067.htm
福建省星云大数据应用服务有限公司2019年IT基础设施采购（第二批）项目-服务器设备中标结果公示 | 2020.02.24 | 福建省星云大数据应用服务有限公司 | 福建优胜招标项目管理集团有限公司中标公告 | 福建 | 服务/信息技术服务/其他信息技术服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918235.htm
湛江中心人民医院第十七批医疗设备采购项目（项目编号：0724-1901D69N6307）的中标公告 | 2020.02.24 | 湛江中心人民医院 | 国义招标股份有限公司湛江分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918251.htm
珠海市斗门区白藤街道办事处2020年聘请城管、两违协管员采购项目的中标、成交公告 | 2020.02.24 | 珠海市斗门区白藤街道办事处 | 广东建辉项目管理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918248.htm
2020年珠海市公共资源交易中心劳务派遣服务采购项目成交公告 | 2020.02.24 | 珠海市公共资源交易中心 | 珠海市公共资源交易中心中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918234.htm
东莞信托有限公司补充医疗委托基金管理机构采购项目结果公示 | 2020.02.24 | 东莞信托有限公司 | 广东和盛招标代理有限公司中标公告 | 广东 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918471.htm
南华县森林公安局指挥中心建设项目中标公告 | 2020.02.24 | 南华县森林公安局 | 楚雄盈佳招标代理有限公司中标公告 | 云南 | 货物/通用设备/计算机设备及软件/计算机网络设备/其他网络设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918246.htm
珠海市公安局香洲分局禁毒办2020年禁毒社工劳务服务采购项目的中标、成交公告 | 2020.02.24 | 珠海市公安局香洲分局 | 广东科安达招标有限公司珠海分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918206.htm
2020-2021年南沙区公共排水设施日常养护全过程咨询项目中标公告 | 2020.02.24 | 广州市南沙水务局 | 谷德中交咨询（广州）有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918214.htm
辽宁鞍炼热电有限公司鞍炼热电氨法脱硫系统技术改造项目中标公告 | 2020.02.24 | 辽宁鞍炼热电有限公司 | 辽宁朗达工程管理有限公司中标公告 | 辽宁 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918204.htm
惠普/HPProDesk400G6MT（i3-9100/4G/1T+128GSSD/集成显成交公告 | 2020.02.24 | 重庆市北碚区市政设施管理处 | 重庆市北碚区市政设施管理处中标公告 | 重庆 | 货物 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918213.htm
利津县高级中学南北校区文印采购项目中标公告 | 2020.02.24 | 利津县高级中学,利津县高级中学 | 山东启辰项目管理咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918216.htm
兰州市城关区教育局2020年春季教辅资料项目中标公告 | 2020.02.24 | 兰州市城关区教育局 | 四川福钦建工集团有限公司中标公告 | 甘肃 | 货物/图书和档案/其他图书、档案 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918215.htm
福建省立医院术中神经监测系统采购项目中标公告 | 2020.02.24 | 福建省立医院 | 福建国诚招标有限公司中标公告 | 福建 | 货物/专用设备/医疗设备/其他医疗设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918380.htm
新丰县不动产数据整合及监理项目（第二期）的中标公告 | 2020.02.24 | 新丰县自然资源局 | 广东中采招标有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918179.htm
南沙水务局南沙区农村生活污水监督检测服务项目（2020-2021年）中标公告 | 2020.02.24 | 广州市南沙水务局 | 谷德中交咨询（广州）有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918174.htm
广州市南沙区节水型社会达标建设技术服务项目中标公告 | 2020.02.24 | 广州市南沙水务局 | 谷德中交咨询（广州）有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918182.htm
厦门雅迅网络股份有限公司车联网基础研究项目平台功能模块系统中标公告 | 2020.02.24 | 厦门雅迅网络股份有限公司 | 天和国咨控股集团有限公司中标公告 | 福建 | 货物/通用设备/计算机设备及软件/计算机软件/基础软件/数据库管理系统 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918164.htm
佛冈县汤塘镇街道秩序提升工程项目之车辆违停自动抓拍识别系统项目（采购项目编号：441821-202001-01900-0009）中标公告 | 2020.02.24 | 佛冈县汤塘镇人民政府 | 清远市弘粤咨询服务有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918176.htm
佛山市禅城区档案馆佛山市禅城区档案馆办公场地及设备租赁单一来源中标、成交公告 | 2020.02.24 | 佛山市禅城区档案馆 | 佛山市公共资源交易中心禅城分中心中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918165.htm
北京市公安局丰台分局2019年丰台区雪亮工程建设项目-南站地区综合视频建设部分中标公告 | 2020.02.24 | 北京市公安局丰台分局 | 北京德音招标代理有限公司中标公告 | 北京 | 货物/通用设备/广播、电视、电影设备/视频设备/其他视频设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919177.htm
石家庄市妇幼保健院2020年新院区医疗设备采购（一）国际招标中标公告 | 2020.02.24 | 石家庄市妇幼保健院 | 河北博鳌招标代理有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918131.htm
连江县税务局物业服务采购项目中标公告 | 2020.02.24 | 连江县税务局 | 福建景业招标有限公司中标公告 | 福建 | 服务/房地产服务/物业管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918338.htm
新兴县公安局云浮市新兴县公共安全视频监控建设联网应用“十三五”规划项目（雪亮工程）监理服务项目的中标、成交公告 | 2020.02.24 | 新兴县公安局 | 广东晓君招标采购代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918097.htm
广州市番禺区第二人民医院医用家具采购的中标结果调整公告 | 2020.02.24 | 广州市番禺区第二人民医院 | 中基科技（广州）有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918065.htm
泰安市环山路东延二期、泮河大街东延（互通立交桥）、迎胜路南延可行性研究报告项目中标公告 | 2020.02.24 | 泰安市住房和城乡建设局 | 泰安建业工程咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918064.htm
陇西县农业农村局陇西县2020年高标准农田建设项目初步设计中标公告 | 2020.02.24 | 陇西县农业农村局 | 中陇工程管理有限公司中标公告 | 甘肃 | 服务/农林牧副渔服务/农业服务/灌溉系统服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918071.htm
荣成市交通运输局关于2020年县级公路改造工程勘察设计中标公告 | 2020.02.24 | 荣成市交通运输局 | 山东永平房地产评估有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918036.htm
厦门中实—公开招标—2020-ZS2012-1—第三代社会保障卡（厦门市民一卡通）制卡设备采购项目—中标候选人公示 | 2020.02.24 | 中国邮政储蓄银行股份有限公司厦门分行 | 厦门市中实采购招标有限公司中标公告 | 福建 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918031.htm
电子政务建设—门户网站升级改造项目测试评估认证服务采购项目监理中标公告 | 2020.02.24 | 北京市药品监督管理局 | 中机国际招标有限公司中标公告 | 北京 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918056.htm
贵阳市重点行业企业用地土壤污染状况调查采测项目中标（成交）公告 | 2020.02.24 | 贵阳市生态环境局 | 贵州德建招投标代理有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918009.htm
贵阳市南明甲秀高级中学物业劳务外包项目中标（成交）公告 | 2020.02.24 | 贵阳市南明甲秀高级中学 | 贵阳实创建设工程咨询有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918003.htm
珠海市交通运输局综合行政执法局2020年非法违章车停放及拖吊车服务采购项目成交公告 | 2020.02.24 | 珠海市交通运输局综合行政执法局 | 珠海市平正咨询有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917993.htm
四川大学华西医院大数据中心科研病种数据平台项目中标公告 | 2020.02.24 | 四川大学华西医院 | 四川国际招标有限责任公司中标公告 | 四川 | 货物/通用设备/计算机设备及软件/计算机软件/基础软件/数据库管理系统 | http://www.ccgp.gov.cn/cggg/zygg/zbgg/202002/t20200224_13917990.htm
北京市京发招标有限公司建厂局宿舍消除安全隐患环境升级工程中标公告 | 2020.02.24 | 北京市京发招标有限公司 | 北京北卫旭博工程咨询有限公司中标公告 | 北京 | 工程/修缮工程/房屋修缮 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918186.htm
电子政务建设—门户网站升级改造项目测试评估认证服务采购项目测评中标公告 | 2020.02.24 | 北京市药品监督管理局 | 中机国际招标有限公司中标公告 | 北京 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918037.htm
金盏乡聘用保安劳务派遣服务项目采购项目中标公告 | 2020.02.24 | 北京市朝阳区金盏乡人民政府 | 中工国际招标有限公司中标公告 | 北京 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918096.htm
福建技师学院企业沙盘实训室货物类采购项目结果公告(包1) | 2020.02.24 | 福建技师学院 | 福建华闽招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917971.htm
保安服务项目结果公告(包1) | 2020.02.24 | 福州市仓山区人民政府金山街道办事处 | 福建省远鸿招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917962.htm
鄂尔多斯市东胜区环境卫生事业局鄂尔多斯市东胜区乌素生活垃圾无害化处理厂建设工程PPP项目中标公告 | 2020.02.24 | 鄂尔多斯市东胜区环境卫生事业局 | 内蒙古润泰工程项目管理有限责任公司中标公告 | 内蒙古 | PPP | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917950.htm
电子政务建设—门户网站升级改造项目测试评估认证服务采购项目开发中标公告 | 2020.02.24 | 北京市药品监督管理局 | 中机国际招标有限公司中标公告 | 北京 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917948.htm
北京市公安局丰台分局2019年丰台区雪亮工程建设项目-公共区域前端改造部分中标公告 | 2020.02.24 | 北京市公安局丰台分局 | 北京德音招标代理有限公司中标公告 | 北京 | 货物/通用设备/广播、电视、电影设备/视频节目制作和播控设备/专业摄像机和信号源设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919181.htm
中华人民共和国大连海事局大连海事局2020年度机关食堂餐饮服务中标公告 | 2020.02.24 | 中华人民共和国大连海事局 | 大连港盛招标代理有限公司中标公告 | 辽宁 | 服务/房地产服务/物业管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917933.htm
疫苗检验专用仪器设备购置（二）其他分析仪器采购项目（分包一）、（分包二）、（分包三）、（分包四）中标公告 | 2020.02.24 | 北京市药品检验所 | 中天信远国际招投标咨询（北京）有限公司中标公告 | 北京 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917922.htm
北京市公安局丰台分局2019年丰台区雪亮工程建设项目-公共区域监理部分（建设项目）中标公告 | 2020.02.24 | 北京市公安局丰台分局 | 北京中联环建设工程管理有限公司中标公告 | 北京 | 服务/信息技术服务/信息化工程监理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918292.htm
吉林出彩农业产品开发有限公司中国好粮油行动计划优粮优加技改项目中标公告 | 2020.02.24 | 吉林出彩农业产品开发有限公司 | 吉林省元辰工程项目管理有限公司中标公告 | 吉林 | 货物/其他货物/其他不另分类的物品,工程/其他建筑工程,服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918016.htm
北京市海淀区生态环境局委托监测中标公告 | 2020.02.24 | 北京市海淀区生态环境局 | 北京科技园拍卖招标有限公司中标公告 | 北京 | 服务/环境服务/其他环境治理服务/其他环境治理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917930.htm
曲靖市马龙区人民医院麻醉机（含监护仪）等医疗设备采购项目中标公告 | 2020.02.24 | 曲靖市马龙区人民医院 | 云南招标股份有限公司中标公告 | 云南 | 货物/专用设备/医疗设备/医用内窥镜,货物/专用设备/医疗设备/物理治疗、康复及体育治疗仪器设备,货物/专用设备/医疗设备/临床检验设备,货物/专用设备/医疗设备/手术急救设备及器具 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917884.htm
北京市公安局丰台分局2019年丰台区雪亮工程维护项目-公共区域前端点位维护部分中标公告 | 2020.02.24 | 北京市公安局丰台分局 | 北京中联环建设工程管理有限公司中标公告 | 北京 | 服务/信息技术服务/运行维护服务/其他运行维护服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918315.htm
北京市公安局丰台分局2019年丰台区雪亮工程维护项目-区级平台维护部分中标公告 | 2020.02.24 | 北京市公安局丰台分局 | 北京中联环建设工程管理有限公司中标公告 | 北京 | 服务/信息技术服务/运行维护服务/其他运行维护服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918247.htm
北京市公安局丰台分局2019年丰台区雪亮工程维护项目-公共区域路由维护部分中标公告 | 2020.02.24 | 北京市公安局丰台分局 | 北京中联环建设工程管理有限公司中标公告 | 北京 | 服务/信息技术服务/运行维护服务/其他运行维护服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13918317.htm
永登县土地储备经营中心永登县团结街延伸段（小康路-纬十三路）建设项目设计中标公告 | 2020.02.24 | 永登县土地储备经营中心 | 鸣森项目管理咨询有限公司中标公告 | 甘肃 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917837.htm
吉林大学中日联谊医院医疗设备采购项目中标公告 | 2020.02.24 | 吉林大学中日联谊医院 | 中国洲际新资源集团股份公司中标公告 | 吉林 | 货物/专用设备/医疗设备/临床检验设备 | http://www.ccgp.gov.cn/cggg/zygg/zbgg/202002/t20200224_13917913.htm
国家税务总局济南市市中区税务局办税大厅租赁采购项目中标公告 | 2020.02.24 | 国家税务总局济南市市中区税务局 | 山东财智招标有限公司中标公告 | 山东 | 服务/租赁服务（不带操作员）/其他租赁服务 | http://www.ccgp.gov.cn/cggg/zygg/zbgg/202002/t20200224_13917801.htm
东莞市东城街道重大项目建设委员会办公室东城第一小学新建综合楼智能化系统采购的中标、成交公告 | 2020.02.24 | 东莞市东城街道重大项目建设委员会办公室 | 三方诚信招标有限公司东莞分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917782.htm
北京远悦物业管理有限公司远中悦莱公寓（海淀欣苑1-3地块）消防改造工程中标公告 | 2020.02.24 | 北京远悦物业管理有限公司 | 中工国际招标有限公司中标公告 | 北京 | 工程/专业施工/消防工程和安防工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917772.htm
拉萨市中级人民法院智慧警务管理平台建设项目（第二次）中标公告 | 2020.02.24 | 拉萨市中级人民法院 | 四川五洲招标代理有限公司西藏分公司中标公告 | 西藏 | 货物/通用设备/计算机设备及软件/其他计算机设备及软件 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917751.htm
城阳区体育发展中心城阳区37所学校体育场地相关配套改造工程设计采购项目成交公告 | 2020.02.24 | 城阳区体育发展中心 | 山东东岳项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917722.htm
